Titre,Lien,Entreprise,Lieu,Type de contrat,Expérience,Secteur,Description
"Responsable des Ressources Humaines",https://www.jobzyn.com/fr/companies/jobzyn-confidential/jobs/responsable-ressources-humaines-casablanca,"Jobzyn Confidential","Casablanca","CDI","","",""
"Manager AI Expert F/H",https://www.jobzyn.com/fr/companies/Deloitte/jobs/manager-ai-expert-casablanca,"Deloitte Extended Services","Casablanca","CDI","6 - 9 ans","",""
"Consultant Cloud Data F/H",https://www.jobzyn.com/fr/companies/Deloitte/jobs/consultant-cloud-data-fh-casablanca,"Deloitte Extended Services","Casablanca","CDI","3 - 5 ans","",""
"Talent Acquisition Specialist | Ressources Humaines | Stage",https://www.jobzyn.com/fr/companies/pwc-/jobs/talent-acquisition-specialist-ressources-humaines-stage-casablanca,"PwC","Casablanca","Stage","0 - 2 ans","",""
"Tech lead",https://www.jobzyn.com/fr/companies/haldorix/jobs/tech-lead-casablanca,"Haldorix","Casablanca","CDI","","",""
"Full-Stack Python/Video Processing engineer",https://www.jobzyn.com/fr/companies/haldorix/jobs/full-stack-pythonvideo-processing-engineer-casablanca,"Haldorix","Casablanca","CDI","","",""
"Full-Stack Python/DevOps Engineer",https://www.jobzyn.com/fr/companies/haldorix/jobs/full-stack-pythondevops-engineer-casablanca,"Haldorix","Casablanca","CDI","","",""
"Computer Vision / Machine Learning Engineer - Model training",https://www.jobzyn.com/fr/companies/haldorix/jobs/computer-vision-machine-learning-engineer---model-training-casablanca,"Haldorix","Casablanca","CDI","","",""
"Computer vision/Machine Learning Engineer – Inference & Model Deployment",https://www.jobzyn.com/fr/companies/haldorix/jobs/computer-visionmachine-learning-engineer-inference-model-deployment-casablanca,"Haldorix","Casablanca","CDI","","",""
"Chief of Staff to CEO",https://www.jobzyn.com/fr/companies/marwa/jobs/chief-of-staff-to-ceo-casablanca,"Marwa","Casablanca","CDI","6 - 9 ans","",""
"Stagiaire Analyste",https://www.jobzyn.com/fr/companies/aedge-partners/jobs/stagiaire-analyste-casablanca,"AEDGE Partners","Casablanca","Stage","0 - 2 ans","",""
"Responsable de Programme - Immobilier",https://www.jobzyn.com/fr/companies/aedge-partners/jobs/responsable-programme-pilote-casablanca,"AEDGE Partners","Casablanca","CDI","3 - 5 ans","",""
"Responsable Évènementiel",https://www.jobzyn.com/fr/companies/maroc-telecom/jobs/responsable-evenementiel-rabat,"Maroc Telecom","Rabat","CDI","3 - 5 ans","",""
"Stagiaire SAM (Software Asset Management)",https://www.jobzyn.com/fr/companies/Deloitte/jobs/stagiaire-sam-software-asset-management-casablanca,"Deloitte Extended Services","Casablanca","Stage","0 - 2 ans","",""
"Stagiaire Finance & Transformation (H/F) - casablanca",https://www.jobzyn.com/fr/companies/Deloitte/jobs/stagiaire-finance-transformation-hf---casablanca-casablanca,"Deloitte Extended Services","Casablanca","Stage","0 - 2 ans","",""
"Consultant Senior en Comptabilité Marocaine",https://www.jobzyn.com/fr/companies/pwc-/jobs/consultant-senior-en-comptabilite-casablanca,"PwC","Casablanca","CDI","3 - 5 ans","",""
"Consultant en Comptabilité Française",https://www.jobzyn.com/fr/companies/pwc-/jobs/consultant-en-comptabilite-francaise-casablanca,"PwC","Casablanca","CDI","0 - 2 ans","",""
"Consultant paie/Consultante paie",https://www.jobzyn.com/fr/companies/pwc-/jobs/consultant-paieconsultante-paie-casablanca,"PwC","Casablanca","CDI","0 - 2 ans","",""
